H3,s1,s2,angle,velocity ratio prob 0 to prob 1,velocity ratio prob 0 to prob 2,velocity ratio prob 0 to prob 3,velocity ratio prob 1 to prob 0,velocity ratio prob 1 to prob 2,velocity ratio prob 1 to prob 3,velocity ratio prob 2 to prob 0,velocity ratio prob 2 to prob 1,velocity ratio prob 2 to prob 3,velocity ratio prob 3 to prob 0,velocity ratio prob 3 to prob 1,velocity ratio prob 3 to prob 2
6.0,0.01,0.25,89.0,1.477079914327835,1.7551354299218322,inf,0.6770114401393532,1.1882467650509825,inf,0.5697566027964786,0.841576034046341,inf,0.0,0.0,0.0
6.0,0.01,0.25,0.0,1.1837758554594395,0.9550466611085711,0.6233806129972264,0.8447545161426581,0.806779980098432,0.5266035881051855,1.0470692592540445,1.2394953080987383,0.652722676684338,1.604156400039424,1.8989616147474042,1.532044213753597
6.0,0.01,0.25,10.0,1.1833531251568012,0.9581925418311585,0.6267989634781067,0.8450562885592532,0.8097266331249958,0.5296804057495957,1.043631583782676,1.2349846961815718,0.6541471949679962,1.5954078712112112,1.8879308902975465,1.528707923373308
6.0,0.01,0.25,20.0,1.1777210884353742,0.9676404059129929,0.6392083750302732,0.8490974729241877,0.8216210233600575,0.5427502159101814,1.0334417557279194,1.2171061493904494,0.6605846253672758,1.5644350716660114,1.8424681753889676,1.5138105877714214
6.0,0.01,0.25,30.0,1.1677770790488977,0.9847222122695254,0.661749904891239,0.8563278197020747,0.8432450250449662,0.5666748532435699,1.0155148198548942,1.185894930061016,0.6720168354546199,1.511144909290699,1.7646803881911042,1.4880579581365685
6.0,0.01,0.25,40.0,1.1547326446778157,1.0089809342874951,0.6961732156180055,0.8660013247300304,0.8737788257203145,0.6028869269667579,0.9910990049640165,1.1444543751396503,0.689976581281605,1.4364241219942395,1.6586858252694177,1.4493245526428427
6.0,0.01,0.25,50.0,1.1384823707098588,1.040663307811322,0.7447829419948326,0.8783623055809698,0.9140794223826715,0.6541892620879589,0.9609255870692285,1.0939968404423381,0.7156809857755317,1.3426730710582493,1.5286096210266824,1.3972705994366643
6.0,0.01,0.25,60.0,1.1189947746456719,1.0775379696243006,0.8081279777868929,0.8936592222395753,0.9629517438680636,0.7221910200990755,0.9280415430267063,1.0384736373009908,0.7499763354683999,1.2374277682336405,1.3846752066548995,1.3333754049392066
6.0,0.01,0.25,70.0,1.1451510333863277,1.1407781512309292,0.9079475346466013,0.8732472580869082,0.9961813926478611,0.7928626951169125,0.8765946287812176,1.0038332450097156,0.7959019320863591,1.1013852252919307,1.2612524288994877,1.256436201101589
6.0,0.01,0.25,80.0,1.1373143703171966,1.1774192050088712,0.9731057727004014,0.8792643670906051,1.0352627520924487,0.8556172313456327,0.8493151765708336,0.9659383552424963,0.8264735011631389,1.0276375169627923,1.1687469155188657,1.2099601482596214
6.0,0.01,0.25,89.0,1.5115852132068648,1.580441875471458,1.3723499627511142,0.6615571462745892,1.0455526169897573,0.907887925047666,0.6327344368179895,0.9564320185808461,0.8683330807985151,0.7286771065270596,1.1014575394286668,1.1516318128527414
